file_name,source_path,content_summary,usage_purpose,tier,mode,copied_at
osteogenesis_imperfecta_camber_input_minimal_v1.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\02_source_data\raw_data\osteogenesis_imperfecta_camber_input_minimal_v1.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
codebook_v3_fixed.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\02_source_data\metadata\codebook_v3_fixed.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
publication_table1_overall_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\publication_table1_overall_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
publication_table2_by_gene_group_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\publication_table2_by_gene_group_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
publication_table3_inferential_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\publication_table3_inferential_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
robustness_panel_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\robustness_panel_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
cv_panel_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\cv_panel_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
verified_master_table_FINAL.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\tables_csv_and_logs\verified_master_table_FINAL.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
analysis_gap_audit.md,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\analysis_gap_audit.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
supporting_alternative_grouping.csv,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\supporting_alternative_grouping.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
robustness_classification_table.csv,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\robustness_classification_table.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
cv_reporting_support_table.csv,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\cv_reporting_support_table.csv,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
analysis_support_synthesis.md,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\analysis_support_synthesis.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
copilot_analysis_completion_report.md,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\copilot_analysis_completion_report.md,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
oi_oro_dental_master_FINAL_1_2.py,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\03_analysis_scripts\oi_oro_dental_master_FINAL_1_2.py,Copied source artifact for documentation package,Reporting evidence / traceability,authoritative,copied,2026-03-17T13:47:21
make_figures_final_1_2.py,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\03_analysis_scripts\make_figures_final_1_2.py,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
make_figures_FINAL_1_2_TR.py,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\03_analysis_scripts\make_figures_FINAL_1_2_TR.py,Copied source artifact for documentation package,Reporting evidence / traceability,authoritative,copied,2026-03-17T13:47:21
generate_missing_supporting_analyses.py,K:\IdeaProjects\osteogenesis_imperfecta\missing_statistical_analyses\generate_missing_supporting_analyses.py,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
main_analysis_completion_pipeline_round2.py,K:\IdeaProjects\osteogenesis_imperfecta\main_analysis_completion\08_scripts\main_analysis_completion_pipeline_round2.py,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
FigA_prevalence.png,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\05_figures\english\FigA_prevalence.png,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
FigB_gene_groups.png,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\05_figures\english\FigB_gene_groups.png,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
FigC_inferential_summary.png,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\05_figures\english\FigC_inferential_summary.png,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
FigE_robustness.png,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\05_figures\english\FigE_robustness.png,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
FigF_cv_delta_auc.png,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\05_figures\english\FigF_cv_delta_auc.png,Copied source artifact for documentation package,Reporting evidence / traceability,supporting,copied,2026-03-17T13:47:21
README_Manuscript_Data.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\README_Manuscript_Data.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
ANALYSIS_RESULT_MAP.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\ANALYSIS_RESULT_MAP.csv,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
FILE_REGISTRY.csv,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\FILE_REGISTRY.csv,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
FINAL_HANDOFF_QUICKSTART.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\06_ai_handoff_context\FINAL_HANDOFF_QUICKSTART.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
final_1.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\01_protocol_and_docs\final_1.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
camber_sap_v2_publication_ready.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\01_protocol_and_docs\camber_sap_v2_publication_ready.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,K:\IdeaProjects\osteogenesis_imperfecta\Manuscript_Data\04_final_outputs\OUTPUT_SCHEMA_AND_VARIABLE_LINEAGE.md,Required source file (referenced),Prompt compliance / evidence,authoritative,referenced_only,
